"","studentID","Chinese","Mathematics","English","Physical","Chemistry","History","Geography","Biology"
"student1",908875,0,1,0,0,0,1,1,1
"student2",882691,1,1,0,0,1,1,0,1
"student3",664485,0,1,0,0,1,0,0,1
"student4",522136,0,0,1,1,0,1,0,0
"student5",636708,1,1,1,0,0,1,0,1
"student6",669657,0,1,0,0,1,1,0,0
"student7",562949,1,1,0,0,0,1,0,0
"student8",720342,0,1,1,0,0,1,0,1
"student9",858627,0,1,1,0,1,0,1,1
"student10",376856,1,0,1,0,0,0,0,1
"student11",167444,1,1,1,1,0,0,0,1
"student12",953882,0,1,1,1,0,1,0,0
"student13",945887,0,1,0,1,0,0,0,1
"student14",105178,0,1,0,0,0,0,0,1
"student15",761356,0,1,0,1,0,1,0,1
"student16",637680,1,0,0,1,1,1,0,0
"student17",963595,1,1,0,1,0,0,0,0
"student18",363596,1,0,0,0,0,0,1,1
"student19",327214,0,0,1,0,1,0,1,0
"student20",269939,1,0,1,1,0,1,0,1
"student21",505163,0,0,0,0,0,0,0,1
"student22",852635,1,0,0,1,0,1,1,0
"student23",810552,0,1,1,0,1,1,0,0
"student24",331693,1,1,1,0,1,0,1,1
"student25",791845,1,1,1,1,1,1,0,1
"student26",554328,1,0,0,0,0,1,1,1
"student27",656261,1,1,0,0,1,1,0,0
"student28",419187,0,0,1,0,1,0,0,0
"student29",355704,0,1,0,0,1,1,0,0
"student30",936851,1,0,0,1,1,1,1,0
"student31",537538,0,0,1,1,1,0,1,1
"student32",712494,0,1,1,1,1,0,0,1
"student33",570611,0,0,1,1,0,0,1,0
"student34",263525,1,0,1,1,1,1,0,1
"student35",527795,1,1,1,1,1,0,0,1
"student36",581621,1,0,0,1,0,1,1,1
"student37",279325,1,1,0,1,1,1,1,1
"student38",543016,0,0,1,0,1,0,1,0
"student39",962473,0,1,1,1,1,1,0,1
"student40",707164,1,0,0,0,1,1,1,0
"student41",673989,0,0,1,1,0,0,1,1
"student42",119484,0,0,0,0,0,0,1,0
"student43",745145,1,0,1,1,1,0,1,1
"student44",829942,0,1,1,1,1,0,0,0
"student45",530786,1,1,0,1,0,1,1,0
"student46",287566,1,1,1,0,0,0,1,0
"student47",779396,0,1,0,0,0,1,1,1
"student48",241813,0,1,1,0,1,0,0,0
"student49",605626,1,1,0,1,0,0,0,1
"student50",649617,0,1,0,0,1,1,1,1
"student51",530662,1,1,0,1,1,1,0,0
"student52",604612,0,0,0,0,1,0,1,0
"student53",101302,0,0,0,0,1,0,1,1
"student54",762568,0,1,1,1,1,0,1,1
"student55",701743,0,1,1,0,1,1,0,1
"student56",675480,0,0,1,1,1,1,1,1
"student57",960817,1,1,1,1,0,1,0,1
"student58",425372,0,1,1,1,1,0,1,1
"student59",337792,1,1,0,1,1,1,0,1
"student60",301131,0,0,0,1,0,0,1,1
"student61",662638,0,1,1,0,1,1,0,1
"student62",101407,0,1,1,0,0,1,1,0
"student63",902993,0,1,1,1,0,1,1,1
"student64",549464,1,1,1,1,1,0,0,1
"student65",896501,0,0,1,0,1,1,0,1
"student66",706349,0,0,1,1,0,0,0,0
"student67",149028,0,0,1,0,0,1,1,0
"student68",351570,1,1,0,0,0,1,0,0
"student69",421584,0,0,1,1,0,0,0,0
"student70",527272,1,0,0,0,1,0,0,0
"student71",511834,0,1,0,1,0,0,1,1
"student72",283450,0,0,1,1,1,0,0,0
"student73",886061,1,0,1,1,0,0,1,0
"student74",723202,0,0,0,1,1,0,0,1
"student75",971965,1,1,0,1,0,1,0,1
"student76",699073,1,1,0,1,1,0,1,1
"student77",953941,1,1,0,1,1,1,1,0
"student78",620338,1,0,0,1,1,0,1,0
"student79",847254,1,0,0,0,1,0,1,1
"student80",927659,0,1,1,0,1,0,0,0
"student81",547562,1,1,0,0,1,0,0,0
"student82",570968,0,1,0,0,0,0,1,0
"student83",248781,1,1,0,1,0,0,0,1
"student84",293761,0,0,0,0,1,0,1,0
"student85",223908,1,1,0,0,1,1,0,1
"student86",539818,1,1,0,0,1,0,1,1
"student87",681863,1,0,0,1,1,0,0,1
"student88",774009,1,0,1,1,1,1,1,1
"student89",471099,1,0,1,1,0,0,1,0
"student90",687797,1,0,0,0,1,1,1,1
"student91",719297,0,1,0,1,1,0,0,0
"student92",410884,0,1,1,0,0,1,0,1
"student93",433628,0,1,0,0,0,0,0,0
"student94",610396,0,1,0,1,1,1,1,0
"student95",260909,1,1,0,1,0,1,0,0
"student96",155029,0,0,0,1,0,0,0,0
"student97",552868,0,1,0,1,1,1,1,1
"student98",558956,0,1,0,0,0,0,1,1
"student99",206904,0,0,1,0,1,1,1,1
"student100",497315,1,0,1,1,0,0,0,1
